lagged_diff_year_prior_v2x_elecoff,lagged_diff_year_prior_v2elembaut,lagged_v2ellocons,lagged_v2xlg_leginter,lagged_v2clslavem,lagged_v2lginvstp,lagged_diff_year_prior_v2x_neopat,lagged_v2dlconslt,lagged_is_closed_autocracy,lagged_v2x_clpriv
0.0,0.0,0,0,0.531,0.0,-0.006,-0.784,1,0.733
0.0,0.0,5,0,-2.17,-1.163,0.0,-0.782,0,0.39
0.0,0.0,5,0,1.608,1.094,0.013,2.623,0,0.789
0.0,0.0,12,0,0.337,-2.735,0.0,-0.159,0,0.69
0.0,0.0,7,0,-0.015,-1.1,-0.002,-0.487,1,0.039
0.0,0.0,1,0,1.193,-0.057,0.0119999999999999,-0.526,1,0.471
0.0,0.0,0,0,-0.703,0.535,0.005,-0.715,1,0.254
0.0,0.0,7,0,2.271,3.06,-0.001,2.82,0,0.94
0.0,0.0,24,0,2.057,1.164,0.0,1.67,0,0.943
0.0,0.0,3,0,-0.005,-2.183,0.0,-2.181,0,0.318
0.0,0.0,4,0,-1.084,0.027,0.002,-1.022,1,0.289
0.0,0.0,0,0,0.524,0.0,0.0,-1.581,1,0.749
0.0,0.0,4,0,-2.412,-2.396,0.004,-1.969,1,0.001
0.0,0.0,7,0,2.17,2.84,0.0,4.238,0,0.944
0.0,0.6369999999999998,0,0,-1.313,0.0,-0.0819999999999999,-1.28,1,0.292
0.0,1.7999999999999998,0,0,-1.284,0.0,-0.004,-0.611,1,0.457
0.0,0.0,0,0,1.506,0.0,0.0,-0.437,1,0.643
0.0,0.0,3,0,0.081,-2.338,0.0,-1.13,0,0.287
0.0,0.0,0,0,1.249,0.0,0.0,-0.593,1,0.492
0.0,0.0,8,0,0.278,0.112,0.012,0.827,0,0.565
0.0,0.0,6,0,1.353,-1.392,0.008,-0.948,1,0.588
0.0,0.0,10,0,1.402,-2.15,-0.003,-1.006,1,0.444
0.0,0.0,0,0,-1.228,-2.022,-0.049,-0.896,1,0.159
0.0,0.0,1,0,-0.343,1.516,0.0,0.327,0,0.182
0.0,0.0,0,0,-1.078,0.0,0.0189999999999999,-0.224,1,0.147
0.0,0.0,7,0,-1.234,-2.657,0.0,-2.337,1,0.083
0.0,0.0,8,0,-0.265,-2.178,-0.01,-0.531,1,0.051
0.0,-0.0309999999999999,3,0,0.67,0.266,0.01,0.674,0,0.416
0.0,0.0,0,0,-0.557,-2.122,0.0,-0.263,1,0.068
0.0,0.0,6,0,0.624,1.228,-0.0179999999999999,0.728,0,0.789
0.0,0.0,6,0,0.185,-0.814,0.008,0.039,1,0.395
0.0,0.0,0,0,0.717,0.0,0.0,-0.118,1,0.444
0.0,0.0,6,0,0.75,0.639,-0.009,0.706,0,0.771
0.0,-2.454,0,0,-1.964,0.0,0.2319999999999999,-1.48,1,0.097
0.0,0.0,15,0,-0.931,-0.325,0.007,0.247,0,0.098
